Results ID,Duration (s),Duration per Token (ms),Duration per Completion Token (ms)
GPT-3,6.194892512195121,10.013197966834007,30.745495409630067
GPT-3.5,7.004215975609757,1.9839722776066235,40.56136978210743
GPT-4,27.268456390243898,3.814975832668057,146.4176692296936
