Results ID,Slide Count Accuracy,BLEU Score,ROUGE-1 f-score,ROUGE-2 f-score,ROUGE-L f-score,Cosine Similarity,Content Relevance
GPT-3,0.8473170731707318,0.5441463414634146,0.7417073170731707,0.671219512195122,0.7178048780487805,0.7626829268292683,0.265609756097561
GPT-3.5,0.7902439024390243,0.3807317073170732,0.6402439024390244,0.5131707317073171,0.6060975609756097,0.6831707317073171,0.2692682926829268
GPT-4,0.8846341463414635,0.5602439024390243,0.75,0.6375609756097561,0.7221951219512195,0.7668292682926829,0.2804878048780488
