Model,Training Cost,Prompt Tokens,Price per Prompt Token,Prompt Cost,Completion Tokens,Price per Completion Token,Completion Cost,Total Tokens,Price per Token,Total Cost
GPT-3,3.72,,,,,,,24997.0,0.00011999999999999999,6.71964
GPT-3.5,0.0,,,,,,,142935.0,2e-06,0.28587
GPT-4,,282316.0,2.9999999999999997e-05,8.469479999999999,7814.0,5.9999999999999995e-05,0.46884,290130.0,,8.93832
